     DATE        TIME   ,  Infosys,Wipro,TATA MOTORS,BAJAJ FINANCE,BANK OF INDIA,BIRLA,BOSCH,HDFC
2021-01-27 12:35:28.319377,1316.85,450.15,270.12,4863.76,50.07,719.37,385.6,15778.25,1450.42
2021-01-27 12:35:39.116799,1316.85,450.15,270.12,4863.76,50.07,719.37,385.6,15778.25,1450.42
2021-01-27 12:35:50.825640,1316.87,450.15,270.12,4863.76,50.07,719.36,385.6,15778.25,1450.38
2021-01-27 12:36:02.039736,1316.85,450.15,270.12,4863.76,50.07,719.36,385.6,15778.25,1450.38
2021-01-27 12:36:13.137489,1316.87,450.15,270.12,4863.76,50.07,719.36,385.64,15778.25,1450.38
2021-01-27 12:36:23.943472,1316.85,450.15,270.12,4863.76,50.07,719.36,385.64,15778.25,1450.38
2021-01-27 12:36:35.011555,1316.85,450.15,270.12,4863.76,50.07,719.36,385.64,15778.25,1450.35
2021-01-27 12:36:47.332829,1316.85,450.15,270.12,4863.76,50.07,719.36,385.64,15778.25,1450.35
2021-01-27 12:36:58.995492,1316.83,450.15,270.12,4863.76,50.07,719.36,385.64,15778.25,1450.4
2021-01-27 12:37:10.578962,1316.83,450.15,270.12,4863.76,50.07,719.36,385.64,15778.25,1450.4
2021-01-27 12:37:21.548224,1316.83,450.15,270.12,4863.76,50.07,719.36,385.64,15778.25,1450.4
2021-01-27 12:37:32.949446,1316.83,450.15,270.12,4863.76,50.07,719.36,385.64,15778.25,1450.32
2021-01-27 12:37:44.355469,1316.83,450.15,270.12,4863.76,50.07,719.35,385.67,15778.33,1450.32
2021-01-27 12:37:55.555225,1316.83,450.15,270.12,4863.76,50.07,719.35,385.67,15778.33,1450.32
2021-01-27 12:38:06.693697,1316.83,450.15,270.12,4863.76,50.07,719.35,385.67,15778.33,1450.32
2021-01-27 12:38:18.164526,1316.83,450.15,270.12,4863.76,50.07,719.35,385.67,15778.33,1450.32
2021-01-27 12:38:29.444314,1316.83,450.15,270.12,4863.76,50.07,719.35,385.67,15778.33,1450.32
2021-01-27 12:38:40.842627,1316.83,450.15,270.12,4863.76,50.07,719.35,385.67,15778.33,1450.32
2021-01-27 12:38:52.922923,1316.8,450.15,270.12,4863.76,50.07,719.35,385.67,15778.33,1450.32
2021-01-27 12:39:04.394666,1316.79,450.15,270.12,4863.75,50.07,719.35,385.67,15778.33,1450.32
